                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8464,                0.06667,                0.26667,                 2.7153,               3.57e-05,               3.57e-05,               3.57e-05
                      1,                 1.3126,                0.92555,                0.99807,                 1.9461,             0.00023774,             0.00023774,             0.00023774
                      1,                 1.3126,                0.92555,                0.99807,                 1.9461,             0.00023774,             0.00023774,             0.00023774
                      2,                 0.3584,                0.96229,                0.99976,                 1.8847,              0.0004569,              0.0004569,              0.0004569
                      2,                 0.3584,                0.96229,                0.99976,                 1.8847,              0.0004569,              0.0004569,              0.0004569
                      1,                  1.313,                0.92773,                0.99855,                   1.95,             0.00023774,             0.00023774,             0.00023774
                      2,                0.34816,                0.96253,                      1,                 1.8788,              0.0004569,              0.0004569,              0.0004569
                      3,                0.25223,                0.96737,                      1,                 1.8664,             0.00065721,             0.00065721,             0.00065721
                      4,                0.20304,                0.97317,                      1,                 1.8588,             0.00062918,             0.00062918,             0.00062918
                      3,                 0.2525,                0.96302,                0.99976,                 1.8712,             0.00065721,             0.00065721,             0.00065721
                      5,                0.16622,                 0.9826,                      1,                 1.8457,              0.0006009,              0.0006009,              0.0006009
                      6,                0.13788,                0.98646,                      1,                 1.8419,             0.00057263,             0.00057263,             0.00057263
                      7,                0.11903,                 0.9884,                      1,                 1.8375,             0.00054435,             0.00054435,             0.00054435
                      8,                  0.109,                0.98332,                      1,                 1.8399,             0.00051608,             0.00051608,             0.00051608
                      9,                0.09745,                0.98163,                      1,                   1.84,              0.0004878,              0.0004878,              0.0004878
                     10,                0.09099,                0.98574,                      1,                 1.8358,             0.00045953,             0.00045953,             0.00045953
                     11,                 0.0816,                0.99009,                      1,                 1.8326,             0.00043126,             0.00043126,             0.00043126
                     12,                0.06913,                0.98816,                      1,                  1.833,             0.00040298,             0.00040298,             0.00040298
                     13,                0.07421,                0.98864,                      1,                 1.8319,             0.00037471,             0.00037471,             0.00037471
                     14,                0.06255,                0.99178,                      1,                 1.8296,             0.00034643,             0.00034643,             0.00034643
                     15,                0.06084,                0.99154,                      1,                 1.8282,             0.00031816,             0.00031816,             0.00031816
                      4,                0.20637,                0.97559,                      1,                 1.8541,             0.00062918,             0.00062918,             0.00062918
                     16,                0.04863,                0.99154,                      1,                 1.8276,             0.00028988,             0.00028988,             0.00028988
                     17,                0.04833,                0.99057,                      1,                 1.8286,             0.00026161,             0.00026161,             0.00026161
                     18,                0.05274,                0.99178,                      1,                  1.827,             0.00023334,             0.00023334,             0.00023334
                     19,                0.04326,                0.99178,                      1,                  1.827,             0.00020506,             0.00020506,             0.00020506
                     20,                0.04532,                0.99226,                      1,                 1.8284,             0.00017679,             0.00017679,             0.00017679
                     21,                0.04353,                0.99492,                      1,                  1.825,             0.00014851,             0.00014851,             0.00014851
                     22,                 0.0356,                0.99468,                      1,                 1.8252,             0.00012024,             0.00012024,             0.00012024
                     23,                0.03309,                0.99541,                      1,                 1.8244,             9.1963e-05,             9.1963e-05,             9.1963e-05
                      5,                0.16488,                 0.9855,                      1,                 1.8449,              0.0006009,              0.0006009,              0.0006009
                     24,                0.03081,                0.99492,                      1,                 1.8241,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     25,                0.03197,                0.99589,                      1,                 1.8239,             3.5414e-05,             3.5414e-05,             3.5414e-05
                      6,                0.13212,                0.97825,                      1,                 1.8466,             0.00057263,             0.00057263,             0.00057263
                      7,                0.11749,                0.98308,                      1,                 1.8418,             0.00054435,             0.00054435,             0.00054435
                      8,                0.10607,                0.98888,                      1,                 1.8353,             0.00051608,             0.00051608,             0.00051608
                      9,                 0.0943,                0.98646,                      1,                  1.839,              0.0004878,              0.0004878,              0.0004878
                     10,                0.08262,                0.99299,                      1,                 1.8305,             0.00045953,             0.00045953,             0.00045953
                      1,                  1.313,                0.92773,                0.99855,                   1.95,             0.00023774,             0.00023774,             0.00023774
                      2,                0.34844,                0.96374,                      1,                 1.8785,             0.00046396,             0.00046396,             0.00046396
                      3,                0.25386,                0.96592,                      1,                 1.8671,             0.00067841,             0.00067841,             0.00067841
                      4,                0.20678,                0.97124,                      1,                 1.8602,             0.00066099,             0.00066099,             0.00066099
                      5,                0.17019,                0.98284,                      1,                 1.8454,             0.00064331,             0.00064331,             0.00064331
                     11,                0.08624,                0.98985,                      1,                 1.8323,             0.00043126,             0.00043126,             0.00043126
                      6,                0.14115,                0.98501,                      1,                 1.8429,             0.00062564,             0.00062564,             0.00062564
                      7,                0.12236,                0.98695,                      1,                 1.8391,             0.00060797,             0.00060797,             0.00060797
                      8,                0.11356,                0.98187,                      1,                 1.8414,              0.0005903,              0.0005903,              0.0005903
                      9,                0.10181,                0.98042,                      1,                 1.8413,             0.00057263,             0.00057263,             0.00057263
                     10,                0.10047,                0.98429,                      1,                 1.8371,             0.00055496,             0.00055496,             0.00055496
                     11,                0.08857,                0.98743,                      1,                 1.8339,             0.00053728,             0.00053728,             0.00053728
                     12,                0.07559,                0.98622,                      1,                 1.8364,             0.00051961,             0.00051961,             0.00051961
                     13,                0.08326,                0.98719,                      1,                 1.8341,             0.00050194,             0.00050194,             0.00050194
                     14,                0.07193,                 0.9913,                      1,                 1.8309,             0.00048427,             0.00048427,             0.00048427
                     12,                0.07559,                0.99202,                      1,                 1.8298,             0.00040298,             0.00040298,             0.00040298
                     15,                0.07126,                0.99033,                      1,                 1.8292,              0.0004666,              0.0004666,              0.0004666
                     16,                0.06518,                0.99178,                      1,                 1.8297,             0.00044893,             0.00044893,             0.00044893
                     17,                0.06573,                0.99033,                      1,                 1.8298,             0.00043126,             0.00043126,             0.00043126
                     18,                0.05587,                0.99178,                      1,                 1.8275,             0.00041358,             0.00041358,             0.00041358
                     19,                0.05131,                0.99396,                      1,                  1.826,             0.00039591,             0.00039591,             0.00039591
                     20,                0.05167,                0.99178,                      1,                 1.8275,             0.00037824,             0.00037824,             0.00037824
                     21,                0.04546,                0.99081,                      1,                 1.8283,             0.00036057,             0.00036057,             0.00036057
                     22,                0.04151,                0.99468,                      1,                 1.8261,              0.0003429,              0.0003429,              0.0003429
                     23,                 0.0442,                0.99323,                      1,                  1.826,             0.00032523,             0.00032523,             0.00032523
                     13,                0.06831,                0.99033,                      1,                 1.8311,             0.00037471,             0.00037471,             0.00037471
                     24,                0.04269,                0.99299,                      1,                  1.826,             0.00030756,             0.00030756,             0.00030756
                     25,                0.03953,                0.99275,                      1,                 1.8263,             0.00028988,             0.00028988,             0.00028988
                     26,                0.03299,                0.99468,                      1,                 1.8242,             0.00027221,             0.00027221,             0.00027221
                     27,                0.03699,                0.99444,                      1,                  1.824,             0.00025454,             0.00025454,             0.00025454
                     28,                0.03183,                0.99517,                      1,                 1.8236,             0.00023687,             0.00023687,             0.00023687
                     29,                0.03507,                 0.9942,                      1,                 1.8239,              0.0002192,              0.0002192,              0.0002192
                     30,                0.02985,                0.99565,                      1,                 1.8226,             0.00020153,             0.00020153,             0.00020153
                     14,                0.07292,                0.99323,                      1,                 1.8275,             0.00034643,             0.00034643,             0.00034643
                     31,                0.02885,                0.99517,                      1,                 1.8227,             0.00018385,             0.00018385,             0.00018385
                     32,                0.02999,                 0.9942,                      1,                 1.8239,             0.00016618,             0.00016618,             0.00016618
                     33,                0.02802,                0.99541,                      1,                 1.8228,             0.00014851,             0.00014851,             0.00014851
                     34,                0.02378,                0.99517,                      1,                 1.8226,             0.00013084,             0.00013084,             0.00013084
                     35,                0.02248,                0.99662,                      1,                 1.8217,             0.00011317,             0.00011317,             0.00011317
                     36,                0.02228,                0.99565,                      1,                 1.8226,             9.5498e-05,             9.5498e-05,             9.5498e-05
                     37,                0.02243,                0.99541,                      1,                 1.8225,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     38,                0.02087,                0.99517,                      1,                 1.8227,             6.0154e-05,             6.0154e-05,             6.0154e-05
                     15,                0.05891,                0.99517,                      1,                 1.8259,             0.00031816,             0.00031816,             0.00031816
                     39,                0.02204,                0.99541,                      1,                 1.8224,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     40,                0.02368,                0.99565,                      1,                 1.8226,             2.4812e-05,             2.4812e-05,             2.4812e-05
                     16,                0.05089,                0.98912,                      1,                  1.831,             0.00028988,             0.00028988,             0.00028988
                     17,                0.05178,                 0.9942,                      1,                 1.8258,             0.00026161,             0.00026161,             0.00026161
                     18,                0.04558,                0.99057,                      1,                 1.8275,             0.00023334,             0.00023334,             0.00023334
                     19,                0.04902,                0.99468,                      1,                 1.8255,             0.00020506,             0.00020506,             0.00020506
                     20,                0.04244,                0.99323,                      1,                 1.8264,             0.00017679,             0.00017679,             0.00017679
